lon,lat,dep,log_dep,log_dep_norm,PINN_log_dep
174.95,37.4,7.930011024000001,0.8992737910577099,0.4607627907462345,0.8406439
174.95,37.4,8.770003919999999,0.9429997874862216,0.5013040704799306,0.8406439
-178.1,37.18,1.6999985376,0.2304485477826718,-0.1593495793606753,-0.017210588
106.97,36.92,15.729999120000004,1.1967286983270915,0.736553020558022,0.8216724
104.13,36.72,101.66008032,2.007150448495929,1.4879489305307645,0.81982523
99.88,36.67,61.63995023999999,1.789862279454199,1.286486616039072,0.8185723
101.8,36.63,39.3301224,1.5947252979877249,1.1055621409397935,0.81875664
110.02,36.6,17.099986031999997,1.23299575564199,0.7701786217064172,0.82131976
101.73,36.58,20.700009648,1.315970547875864,0.8471100706740466,0.8184429
107.35,36.58,21.969995904,1.341829975952355,0.8710860664896352,0.81979424
