lon,lat,PINN_log_dep,Kriging_log_dep
95.29411764705884,-90.0,-1.8922892,-1.350433311440046
98.3193277310924,-90.0,-1.8939826,-1.3638242276073407
101.34453781512605,-90.0,-1.8956275,-1.3747205788262342
104.36974789915968,-90.0,-1.8995428,-1.3822797369607789
107.39495798319324,-90.0,-1.9041224,-1.385710064864257
110.42016806722688,-90.0,-1.9067137,-1.384691091541929
113.44537815126051,-90.0,-1.9094081,-1.379548752480799
116.47058823529407,-90.0,-1.9112785,-1.3709520359280396
119.49579831932772,-90.0,-1.9124286,-1.3595197921358155
122.52100840336136,-90.0,-1.9132133,-1.3456968381877714
125.54621848739492,-90.0,-1.913774,-1.3298560438286977
128.57142857142856,-90.0,-1.9144652,-1.3124289688294364
131.5966386554622,-90.0,-1.9156339,-1.2939301003202248
