lat,lon,dep,log_dep,log_dep_norm,lon_band,PINN_log_dep
-80.57591623036649,-133.75,0.0013854010030627,-2.858424502259705,-1.9769150918893883,2,-2.6666927
-80.57591623036649,-132.5,0.0014225454069674,-2.8469338622399896,-1.9665384580346223,2,-2.6675093
-80.57591623036649,-131.25,0.0014749591937288,-2.831219994725497,-1.9523480344063109,2,-2.6683855
-80.57591623036649,-130.0,0.0015641528880223,-2.8057207991154924,-1.929320960546012,2,-2.6693137
-80.57591623036649,-128.75,0.0016586148412898,-2.7802544528681827,-1.9063235513352428,2,-2.670299
-80.57591623036649,-127.5,0.0017362813232466,-2.7603799063282106,-1.8883758223905576,2,-2.6713412
-80.57591623036649,-126.25,0.0017992852954193,-2.744899969282107,-1.874396649903504,2,-2.6724575
-80.57591623036649,-125.0,0.001890683430247,-2.7233811818932963,-1.8549640876311555,2,-2.6735218
-80.57591623036649,-123.75,0.0019587883725762,-2.708012482630625,-1.841085368534644,2,-2.6739175
-80.57591623036649,-122.5,0.0020366229582577,-2.691089364865558,-1.8258029302694223,2,-2.6721876
-80.57591623036649,-121.25,0.0021552387624979,-2.666504610658043,-1.803601643623674,2,-2.6713152
-80.57591623036649,-60.0,0.0064343442209064,-2.191495709172093,-1.3746443844964689,6,-2.443143
-80.57591623036649,-58.75,0.0065290322527289,-2.18515118602142,-1.3689149565790797,6,-2.4386377
-80.57591623036649,-57.5,0.0067891138605773,-2.168186907689464,-1.3535953482231464,6,-2.4340062
-80.57591623036649,-56.25,0.0072979708202183,-2.136797877425673,-1.32524945334308,6,-2.428635
-80.57591623036649,-55.0,0.0074977176263928,-2.125070919690496,-1.3146594125412217,6,-2.4216497
-80.57591623036649,-53.75,0.0075479801744222,-2.1221692492265443,-1.3120390561537656,6,-2.4147885
-80.57591623036649,-52.5,0.0072827762924134,-2.1377030302163385,-1.3260668524675183,6,-2.408055
-80.57591623036649,-51.25,0.0074301925487816,-2.128999931624373,-1.3182075106609867,6,-2.4025598
-80.57591623036649,-50.0,0.0074873990379273,-2.125669020705021,-1.315199528254989,6,-2.3976698
-80.57591623036649,-48.75,0.0077573526650667,-2.110286464194478,-1.3013082953570572,6,-2.3946395
-80.57591623036649,-47.5,0.0074447225779294,-2.1281514812723428,-1.3174413167299384,6,-2.392382
-80.57591623036649,-46.25,0.0066601848229765,-2.1765137188049057,-1.3611148832511768,6,-2.3902507
-80.57591623036649,-45.0,0.0062326705083251,-2.2053258315868383,-1.3871336902460334,6,-2.3881364
-80.57591623036649,-43.75,0.0060800164937973,-2.2160952425767,-1.396859017510794,6,-2.3846824
-80.57591623036649,-42.5,0.0057941847480833,-2.237007661394256,-1.415743998044079,6,-2.3842714
-80.57591623036649,-41.25,0.0055337427183985,-2.25698103648116,-1.4337809742059906,6,-2.3831942
-79.63350785340315,20.0,0.0021591398399323,-2.6657192290209224,-1.8028924039581136,10,-2.4568515
-79.63350785340315,21.25,0.002108450513333,-2.6760365876956347,-1.812209504931784,10,-2.4648323
-79.63350785340315,22.5,0.002088262932375,-2.6802148203773943,-1.815982662094853,10,-2.472937
