lon,lat,PINN_log_dep,Kriging_log_dep
95.29411764705884,-90.0,-2.6835723,-0.5280007758970515
98.3193277310924,-90.0,-2.6888893,-0.5280007758937374
101.34453781512605,-90.0,-2.6876616,-0.5280007758904061
104.36974789915968,-90.0,-2.6869223,-0.5280007758871005
107.39495798319324,-90.0,-2.6869762,-0.5280007758838526
110.42016806722688,-90.0,-2.684214,-0.5280007758805616
113.44537815126051,-90.0,-2.6811643,-0.528000775877289
116.47058823529407,-90.0,-2.678777,-0.5280007758739552
119.49579831932772,-90.0,-2.6765773,-0.5280007758705846
122.52100840336136,-90.0,-2.6745653,-0.5280007758671489
125.54621848739492,-90.0,-2.6727371,-0.5280007758636656
128.57142857142856,-90.0,-2.67109,-0.5280007758600926
131.5966386554622,-90.0,-2.6696236,-0.5280007758564502
134.62184873949582,-90.0,-2.6683342,-0.5280007758528056
